Book_ID,Title,Author,Genre,Published_Year,Cost_Price,Sale_Price,Stock,Rating,Reviews,Format,Publisher
B705372,Provide give save man.,Todd Bolton,Fantasy,2007-04-12,45.81,63.84,205,4.5,2877,Paperback,Pearson
B715112,Expert foot indeed.,Jennifer Maddox MD,Self-Help,1993-11-10,31.71,39.78,110,3.4,4405,Ebook,Macmillan
B844444,Her every brother decade.,William Hill,Science Fiction,1987-01-09,43.79,59.88,438,4.7,4664,Hardcover,Penguin
B346904,Goal from.,Kelly Kidd,Romance,2021-08-07,41.23,58.49,386,3.8,443,Hardcover,HarperCollins
B196073,Tv cup.,Lori Watkins,Romance,1989-12-13,41.59,56.11,295,3.9,1486,Hardcover,Penguin
B188866,Every stand design partner late.,John Stone,Thriller,2014-07-05,7.11,8.92,488,4.2,1809,Hardcover,Pearson
B704891,Physical everyone your.,Sabrina Palmer,Mystery,1983-07-04,32.28,41.02,383,4.4,3867,Paperback,Macmillan
B344805,Space hand require everything follow.,Karen Bennett,Romance,1975-07-22,21.17,31.46,277,4.8,1136,Ebook,Hachette
B436711,Probably wish computer Republican.,Ricardo Pearson,History,2018-06-16,33.11,44.2,91,4.2,1898,Ebook,Pearson
B383382,Impact west executive board social.,Alexis Cooper,Mystery,2023-05-10,10.67,13.08,383,3.9,2866,Audiobook,Macmillan
B548160,General theory manager bring challenge.,John Mosley,Fiction,1989-02-18,49.51,64.07,335,3.4,2547,Hardcover,Macmillan
B929807,Significant number a present.,Kevin Lopez,Mystery,2004-10-10,17.37,21.11,445,4.0,469,Ebook,Pearson
B647365,Claim while.,Stephen Turner,History,2013-02-07,34.13,39.98,402,4.6,112,Audiobook,Hachette
B116438,This among future behavior.,Allison Stone,Fiction,1996-04-29,33.81,46.64,69,4.7,3219,Paperback,Penguin
B446714,Budget power four.,Caitlin Delgado,Science Fiction,1994-01-30,8.11,10.89,384,4.1,838,Paperback,Penguin
B776592,Clear of lead fact.,Johnny Leon,Mystery,2016-12-15,20.06,23.26,485,4.1,4237,Hardcover,HarperCollins
B655748,Son where.,David Mueller,Romance,1979-03-10,5.95,7.26,393,3.7,876,Paperback,Oxford Press
B394143,As newspaper despite side.,Cody Larson,Thriller,2016-05-28,15.81,20.82,444,4.4,1994,Paperback,Macmillan
B756912,Sound shake total.,Alice Reed,Thriller,2020-12-02,25.33,30.89,475,3.1,2245,Audiobook,HarperCollins
B778502,Down data agent future attention.,Benjamin Daniels,Self-Help,2017-03-31,34.86,45.84,140,4.2,4203,Paperback,Macmillan
B109522,Start air challenge.,Keith Taylor,Fiction,1991-05-04,48.51,67.66,109,3.1,1266,Audiobook,Macmillan
B350540,Maybe when short.,Audrey Ingram,History,1988-07-21,18.76,25.36,429,4.5,1460,Audiobook,Penguin
B561246,I oil.,Megan Jackson,Romance,2015-01-14,47.0,56.64,244,4.5,4019,Ebook,Penguin
B233138,Opportunity six.,John Hill,History,2015-04-23,33.88,39.07,51,4.4,678,Hardcover,Macmillan
B396734,Turn west during executive.,Michael Williams,Self-Help,1988-09-07,13.82,17.22,467,4.2,785,Audiobook,Hachette
B812149,Fear data black.,Mrs. Cassandra Patrick MD,Fiction,1999-03-23,21.18,28.99,329,3.9,1788,Hardcover,Oxford Press
B718705,Possible reason instead personal.,Deborah Vaughn,Self-Help,2012-09-16,28.87,42.77,363,4.1,3791,Paperback,Macmillan
B730029,On whole travel.,Cory Miller,Thriller,2023-12-29,10.18,13.7,283,4.7,4238,Audiobook,Simon & Schuster
B813161,Idea full couple sea guess.,Danielle Smith,History,1976-11-22,37.77,54.21,155,3.5,4944,Ebook,Pearson
B203622,Population run director.,Wendy Gill,History,1991-09-16,34.57,38.64,34,4.0,3043,Paperback,Macmillan
B309552,Street during.,Sarah Russo,Fiction,2017-04-01,35.42,49.88,246,3.8,3769,Audiobook,HarperCollins
B192806,Maintain hair bring.,Jennifer Figueroa,Fantasy,2006-08-08,19.71,26.29,319,4.5,820,Audiobook,HarperCollins
B616741,Loss message.,Amber Mccall,Fiction,2008-04-20,28.87,35.43,42,3.7,3263,Hardcover,Simon & Schuster
B139406,Somebody get ready.,Jeremy Peterson,Mystery,1989-12-24,7.85,11.01,293,3.7,1760,Hardcover,Simon & Schuster
B672478,Save near.,Adam Silva,History,1982-11-28,19.56,25.44,323,4.7,249,Audiobook,Oxford Press
B986288,Letter soldier occur bad apply.,Susan Martinez,Science Fiction,2011-05-23,49.76,55.54,29,4.6,3408,Audiobook,HarperCollins
B153942,Kitchen daughter appear popular.,Joseph Morris,Mystery,1998-06-17,48.11,58.33,446,4.6,4336,Hardcover,Oxford Press
B837386,Television police box choose.,Michael Sawyer,Fiction,2022-05-12,5.61,6.96,483,3.3,2820,Paperback,Hachette
B417911,Model but wear wall.,Jason Johnson,Fiction,2021-12-02,45.66,51.05,493,3.7,3467,Paperback,Oxford Press
B840558,Animal happy room head.,Marcus Thompson,Fiction,2018-03-29,16.21,17.94,362,4.4,79,Hardcover,Oxford Press
B703392,Fall far allow.,Eric Montes,Self-Help,1994-09-12,12.35,14.95,225,4.5,1159,Audiobook,Macmillan
B462512,Bar reality energy hit analysis.,Jodi Bryant,Thriller,2010-05-05,19.97,25.29,43,4.7,3960,Paperback,Simon & Schuster
B846427,Your rest gas blue.,Stephanie Boyd,Science Fiction,2007-06-03,44.07,50.4,330,3.7,2220,Audiobook,Penguin
B386414,Environmental decide it environmental.,Marcia Wilson,Self-Help,2019-09-14,38.56,56.6,296,3.4,3706,Audiobook,Hachette
B581494,Police beyond parent.,Holly Davis,Romance,1991-10-06,34.43,37.97,38,3.7,2500,Ebook,HarperCollins
B494498,Member six not.,Michael Chan,Fantasy,1989-06-02,40.89,51.88,411,4.0,2413,Paperback,Simon & Schuster
B946845,Ago learn.,Cory Adams,Science Fiction,2021-04-12,37.85,54.02,228,4.5,3320,Hardcover,Pearson
B543469,Again always.,Gary Russell,History,1986-02-13,47.56,57.24,182,3.6,4402,Paperback,Macmillan
B544939,Product wait too often remain.,David Cook,Fantasy,2010-05-06,29.05,38.89,11,3.5,117,Paperback,HarperCollins
B290166,Yourself deep must idea.,Francisco Keller,Science Fiction,1995-12-26,37.98,52.12,203,3.2,1411,Paperback,Oxford Press
B969910,Area girl fish.,Richard Barnett,Science Fiction,1981-01-09,29.54,40.73,86,4.6,2534,Hardcover,HarperCollins
B712424,Move democratic set phone along.,Caitlin Bowen,Biography,1982-05-31,32.48,38.21,296,4.0,2566,Paperback,Oxford Press
B630757,Everyone debate none street attack.,Andrew Davis,Science Fiction,1976-07-04,21.23,30.09,334,3.6,3681,Hardcover,Simon & Schuster
B803778,Education happen major.,Cindy Monroe,History,2008-07-29,31.62,38.41,470,4.5,4683,Audiobook,Simon & Schuster
B224450,Television answer happy between arm.,Mary White,History,1991-07-28,43.1,50.02,363,3.0,4300,Ebook,Penguin
B219858,Center available alone however issue.,Cameron Smith,Thriller,1995-06-23,42.82,61.12,185,3.1,3694,Paperback,Simon & Schuster
B711722,Front drop billion avoid start.,Randy Mcbride,Biography,2020-10-21,21.92,25.1,266,3.3,2446,Hardcover,Macmillan
B593739,Choose opportunity blood.,Pamela Martinez,Biography,2005-07-21,8.35,10.28,6,4.6,4886,Ebook,Hachette
B953488,Detail almost plan phone yes.,Stephanie Brown,Self-Help,2013-09-02,40.95,50.79,273,3.9,2395,Ebook,Penguin
B406417,Resource Democrat early raise know.,James Mason,Self-Help,2005-12-14,16.15,18.77,374,4.5,1660,Paperback,Pearson
B501099,Unit rate democratic environment Congress.,Ms. Donna Arnold MD,History,2019-04-22,49.24,57.6,14,4.0,3436,Audiobook,Oxford Press
B181509,Nature seat Republican whether.,Jane Kline,Fantasy,1989-04-20,43.88,55.45,374,4.0,3085,Paperback,Pearson
B143396,Camera Democrat article summer.,Dr. Kimberly Wilkins,Science Fiction,2004-12-11,38.07,49.29,59,3.6,4716,Paperback,Penguin
B560548,Move strategy nor in.,Robert Anderson,Thriller,2005-01-03,45.08,61.27,183,3.0,2976,Paperback,Penguin
B591317,Rather garden discover paper.,Anthony Gomez,Thriller,1997-08-24,42.94,51.64,381,3.8,2962,Hardcover,Pearson
B153527,Vote artist chance determine box.,Victoria Bautista,Fantasy,1976-03-06,36.4,49.35,306,3.2,3505,Paperback,Pearson
B172529,Story series should always.,Tanya Daniels,Science Fiction,1997-08-10,35.64,50.77,270,4.0,3087,Hardcover,Simon & Schuster
B861956,Military position look structure expert.,Kyle Brown,Mystery,2017-09-08,48.42,69.99,110,4.6,2920,Audiobook,Pearson
B891491,Station financial.,Maria Berry,Fiction,1993-09-07,48.61,61.04,127,4.1,4086,Hardcover,Penguin
B889959,Professor wait face.,Roy Bennett,Fantasy,2019-11-21,31.68,39.08,322,4.1,4093,Audiobook,Penguin
B190708,War yourself black travel.,Brandon Brown,Fantasy,1988-12-13,32.37,42.49,213,4.1,2511,Ebook,Penguin
B452804,Property vote across.,David Sanford,Fiction,1981-07-02,41.42,45.7,102,4.2,4353,Hardcover,Macmillan
B999303,Team seek that get.,Alexandra Strickland,Biography,2017-10-02,22.83,27.26,306,3.7,1046,Audiobook,Pearson
B433808,Around race provide my including.,Michael Meyer,Fantasy,1993-12-04,35.84,46.06,435,4.0,87,Ebook,Oxford Press
B851436,Best their about his TV.,Marisa Nolan,Romance,1978-04-12,25.77,29.95,458,3.2,1608,Audiobook,Macmillan
B605652,Coach speech between goal.,Carlos Mcguire,Self-Help,2000-01-12,5.71,6.68,49,4.4,3085,Ebook,Penguin
B361893,Remain fast partner.,Derrick Gibbs,Romance,2008-11-11,34.44,41.25,366,3.4,921,Hardcover,Pearson
B808416,Computer as safe bank site.,Andrew Berger,Romance,1985-12-07,29.25,40.24,497,3.9,942,Hardcover,Pearson
B834860,Official person avoid.,Chloe Vazquez,History,1995-11-20,5.84,7.57,478,3.6,3267,Hardcover,Oxford Press
B257562,Charge ago answer work.,Karen Shepard,Fiction,2015-02-08,37.66,44.74,334,3.5,1246,Audiobook,Pearson
B946880,Arm on scene research military.,David Garza,History,1994-02-25,10.82,13.72,474,4.4,2919,Paperback,Macmillan
B728882,Fill a behind help fire.,Anna Johnson,History,1984-02-18,48.18,55.92,172,4.0,3796,Ebook,Penguin
B672045,Mission our task actually.,Vanessa Mitchell,Science Fiction,1998-04-01,45.0,55.25,26,3.1,3573,Audiobook,Hachette
B540123,Send course state threat.,Karen Chambers,Self-Help,1990-04-22,20.46,28.43,123,3.7,582,Paperback,Macmillan
B280638,Industry six deep.,Todd Ortiz,Fiction,1990-11-08,41.53,59.98,144,3.2,3852,Hardcover,Oxford Press
B535749,Simple your.,Dr. Joe Stanley,History,1994-08-06,43.91,60.31,102,3.0,1753,Ebook,Pearson
B438962,Response foreign player.,Bill Donaldson,Thriller,1978-03-25,32.48,45.73,492,4.8,4772,Paperback,Pearson
B568454,Without good marriage include.,Jessica Arellano,Self-Help,2019-12-21,9.09,10.98,330,4.5,1975,Ebook,Oxford Press
B463626,Return front situation it.,Lisa Johnson,Science Fiction,1990-11-14,36.25,42.49,468,4.2,2268,Paperback,Penguin
B909248,Debate want.,Mr. David Davis DDS,Mystery,2017-09-05,42.22,48.85,247,4.4,4998,Hardcover,Macmillan
B794565,Oil family these.,Christopher Wu,Fantasy,1977-03-02,19.28,22.39,40,4.9,1685,Audiobook,Hachette
B881027,Future anyone.,James Dorsey,Self-Help,1994-01-07,7.6,10.4,160,3.0,4959,Audiobook,Macmillan
B346041,Media player or mean.,Courtney Ortiz,Romance,1993-04-08,14.76,17.96,342,3.3,632,Audiobook,Macmillan
B865482,Democratic professional threat.,Bruce Baker,Mystery,2009-05-16,43.55,55.33,479,4.2,2128,Paperback,Simon & Schuster
B826059,Station learn age concern.,Stuart Bradshaw,Mystery,2010-09-19,23.7,26.28,341,3.1,1302,Paperback,Oxford Press
B670932,Build job politics treatment would.,Meghan Moran,History,1996-10-03,45.3,66.45,253,3.2,4065,Paperback,Macmillan
B181165,Appear arm doctor trial.,Debra Horton,Self-Help,2012-06-22,5.8,8.7,151,4.0,675,Ebook,Pearson
B364242,Threat word news physical article.,Mitchell Hancock,Romance,2021-06-24,29.92,43.47,14,3.4,3649,Hardcover,Simon & Schuster
B982233,Book management interesting.,Matthew Martin,Science Fiction,1991-07-16,12.58,16.4,448,3.3,245,Audiobook,Penguin
B723790,To tough determine remain.,Tyrone Boyd,Science Fiction,1993-02-10,37.94,45.61,386,4.1,2064,Audiobook,Hachette
B169774,Marriage put free.,Thomas Hall,Romance,2007-12-31,6.07,8.56,103,4.8,4011,Paperback,Oxford Press
B784474,Learn itself care argue fact.,Willie Ramirez,Fiction,2015-03-09,41.62,56.0,69,4.7,1823,Hardcover,Simon & Schuster
B393294,Discuss eye.,Jennifer Bray,Fantasy,2013-08-04,17.37,21.97,8,4.6,2511,Audiobook,Oxford Press
B290607,Act physical.,Sierra Fleming,Romance,1975-04-25,45.92,52.89,348,3.7,2656,Paperback,Pearson
B671134,Outside condition lay rate.,Mario Ramirez,Fiction,1998-12-05,5.43,8.03,67,3.9,4530,Paperback,Penguin
B122370,Compare mother begin rich show.,Richard Houston,Fiction,1979-04-28,25.72,32.26,152,4.1,1801,Paperback,Penguin
B936940,Administration understand.,Steve Spencer MD,Science Fiction,2003-03-29,24.54,33.89,123,3.8,2068,Audiobook,Macmillan
B225230,No since up begin fast.,John Peterson,Biography,1976-09-19,38.01,52.38,199,3.0,329,Ebook,Simon & Schuster
B919112,Certainly test result together.,Dr. Jonathan Mcdowell,Self-Help,2011-03-03,8.57,12.03,77,3.7,1704,Audiobook,Macmillan
B570295,Yes since bad.,Jodi Benson,Fantasy,2014-07-01,11.97,15.44,229,3.5,4943,Ebook,Oxford Press
B471031,Player exist prevent sometimes write.,Brandon Mason,Biography,1992-03-11,38.01,50.22,78,5.0,183,Paperback,Pearson
B934096,Owner kitchen.,Cassandra Schultz,Romance,1988-01-31,14.87,17.83,76,4.8,3272,Audiobook,Simon & Schuster
B141648,Guess artist.,Michael Mccall,Thriller,1994-04-16,11.11,12.67,347,3.5,3353,Audiobook,HarperCollins
B768288,Eye rest positive idea.,Hunter Thomas,Biography,1987-03-17,15.5,17.87,276,3.8,2937,Audiobook,Oxford Press
B458599,Only eight back.,Carlos Jacobson,Thriller,1993-03-24,8.45,11.73,290,4.7,1226,Audiobook,Pearson
B593946,Lot guy outside.,Paul Watson II,Romance,2003-11-06,33.42,48.62,172,3.3,3242,Hardcover,Oxford Press
B116856,Easy rather little.,Jacqueline Thornton,Fiction,2010-10-04,22.85,27.93,91,4.0,3926,Ebook,Penguin
B454909,Artist then final animal material.,Martha Butler,Fiction,1980-10-04,13.21,16.27,53,3.3,1043,Paperback,Hachette
B895431,Trip deep both business.,Kristin Nelson,Mystery,1991-02-02,29.71,43.16,293,3.1,3501,Ebook,Oxford Press
B515333,Police miss throw half.,Sandra Gonzalez,Self-Help,1976-10-24,43.83,63.84,264,3.1,4517,Paperback,Macmillan
B342031,Energy some section war.,Zachary Johnson,Romance,1982-05-08,29.04,32.69,33,4.4,3109,Paperback,Pearson
B779929,Animal truth lead some.,Teresa Morris,History,2001-08-02,25.87,33.31,388,4.2,2515,Audiobook,Hachette
B986382,Join recent computer.,Ryan Bauer,History,2021-01-02,17.38,19.66,139,4.2,2202,Hardcover,Penguin
B605083,Organization middle effect about.,Shane Rodriguez,History,2004-04-24,22.05,32.36,360,4.9,2129,Paperback,Hachette
B625379,Above water clear thus win.,Jennifer Leblanc,Fiction,1987-11-24,33.91,40.96,305,4.8,3772,Paperback,Pearson
B342782,Available success actually pass.,Nancy Brown,Science Fiction,1988-11-17,46.24,66.03,193,3.6,3156,Ebook,Macmillan
B936679,Open guess go conference.,Mrs. Samantha Johnson,Thriller,2024-02-29,37.61,49.64,288,4.7,3618,Audiobook,Oxford Press
B130433,Gun reduce among southern one.,Stephen Berry,Romance,1979-07-24,16.02,19.05,227,3.0,2649,Audiobook,Pearson
B439535,Deal do make could.,Susan Holloway,Self-Help,2004-05-18,30.95,38.93,17,3.4,4607,Hardcover,Pearson
B966401,Upon girl do surface.,James Thomas,Mystery,2022-02-22,36.59,43.41,240,3.8,884,Ebook,HarperCollins
B127407,Heart former discover begin.,Corey Gonzalez,Mystery,2011-03-17,42.54,49.59,351,4.9,4528,Ebook,Penguin
B659953,Through against.,Amy Long,Biography,1979-02-27,11.36,16.83,252,4.4,231,Paperback,Pearson
B740286,Feeling how best lay agent.,Regina Harrison,History,1999-07-24,39.95,45.85,336,4.9,460,Paperback,Hachette
B942573,Far here understand hotel.,Thomas Mcfarland,Biography,2018-06-05,24.45,36.21,480,3.4,1477,Audiobook,Simon & Schuster
B925971,Us authority.,Terri Jenkins,Thriller,1997-09-14,21.89,24.96,214,4.8,4026,Audiobook,Hachette
B977230,Clear goal get.,Brittney Brown,Mystery,1986-01-23,49.19,70.99,436,3.7,4632,Paperback,Macmillan
B102441,Spend tough.,James Holland,Fiction,2009-02-16,25.29,34.73,382,4.2,319,Paperback,Penguin
B540817,Knowledge box station notice.,Kimberly Anderson,Romance,1981-09-15,17.14,22.3,396,4.5,3451,Ebook,Oxford Press
B357246,Interesting loss around form.,Jennifer Bullock,Romance,2011-09-28,22.77,27.84,131,3.0,2885,Ebook,Simon & Schuster
B905572,You modern hope.,Brian Gardner,Thriller,1985-03-19,35.04,50.03,332,3.8,3492,Ebook,Oxford Press
B143565,Generation grow story traditional.,Ebony Herrera,Fantasy,1983-06-14,19.56,24.54,217,3.4,3236,Ebook,Oxford Press
B668422,Exist although board idea.,Danielle Riley,Self-Help,1994-06-20,41.65,48.2,159,4.5,1036,Hardcover,Pearson
B797604,Medical full book relate enjoy.,Joshua Scott,Romance,2006-09-07,25.99,34.69,238,4.5,4347,Hardcover,Macmillan
B647220,Training former.,Mary Morrison,Romance,1989-08-13,21.43,24.09,426,4.7,1617,Audiobook,Macmillan
B688908,Simply would mind black sea.,Angela Wilson,Biography,1996-10-03,29.65,33.8,339,4.7,216,Paperback,HarperCollins
B797810,Effort current forward.,Jordan Brown Jr.,Self-Help,1999-12-04,45.06,58.85,302,4.9,1683,Hardcover,Hachette
B300333,Attack attention from fact response.,Dr. Diamond Carter,Biography,2020-04-08,21.61,28.23,28,4.1,3828,Audiobook,Oxford Press
B549386,Prepare the Republican.,Allison Garrison,Science Fiction,1986-12-26,30.11,38.8,497,3.4,3613,Ebook,Hachette
B957609,Series stay training.,Juan Martinez,Romance,2015-06-08,35.94,46.84,472,4.6,2156,Audiobook,Penguin
B801571,Look Mr street leg.,Matthew Hall,Fantasy,2000-12-22,44.56,65.11,155,4.5,136,Paperback,HarperCollins
B985179,Car key.,Michael Berg,Science Fiction,2020-03-30,6.47,9.57,92,3.8,1998,Audiobook,Penguin
B955715,News impact century.,Paul Harris,Thriller,2014-01-23,14.18,20.59,496,3.7,4490,Paperback,Simon & Schuster
B257396,Trip center wide movie.,Christine Smith,Fiction,2009-05-11,39.61,50.07,385,4.8,2802,Audiobook,Oxford Press
B220730,Provide which.,Donna Myers,Self-Help,1981-10-20,21.54,31.59,484,3.0,3074,Audiobook,Oxford Press
B953317,A hot toward.,Jeffrey Cherry,Romance,2018-03-10,19.29,24.44,299,4.0,1119,Ebook,Macmillan
B129269,Candidate both when man course.,Dr. Susan King,Mystery,2003-01-24,11.69,13.45,149,3.5,2283,Audiobook,Macmillan
B724102,Question response picture fine rise.,Charles Fox,Romance,2018-11-17,40.44,59.99,286,4.9,1905,Paperback,Oxford Press
B470081,Area responsibility continue have near.,Yvonne Hoffman,Fiction,1993-10-01,20.75,24.48,376,4.8,2622,Audiobook,Simon & Schuster
B556640,Hold approach effort computer.,David Bell,Thriller,1984-10-29,47.23,58.77,65,3.8,2270,Ebook,Hachette
B712621,Everybody entire early.,Regina Klein,Self-Help,1991-11-16,5.73,6.37,363,4.3,4306,Audiobook,Oxford Press
B721145,Care nature very.,Tommy Gonzales,Self-Help,1989-12-19,47.94,53.2,5,3.5,4969,Paperback,Macmillan
B726120,Win skill democratic.,Gregory Christensen,Fiction,2021-07-30,30.19,40.25,16,3.3,224,Hardcover,Simon & Schuster
B556996,Scientist whether indicate fall image.,Michael Rivera,Fantasy,1980-03-19,16.96,20.5,369,5.0,4608,Paperback,Penguin
B274965,Cell these especially skin.,Patrick Jimenez,Mystery,1981-07-09,40.85,51.58,160,3.8,4316,Ebook,Hachette
B276871,Tough option material.,Elizabeth Parsons,Fantasy,1978-05-14,25.95,34.83,335,4.3,4013,Audiobook,Pearson
B203568,Lot view data.,Juan Miller,Mystery,2016-05-19,29.17,32.62,270,3.6,1770,Paperback,Hachette
B452271,Give phone interesting produce.,Phillip Daniels,Thriller,1984-03-25,12.38,15.72,405,4.7,1268,Hardcover,Oxford Press
B704139,Church season thank early effort.,Alex Lewis,Fantasy,2008-12-10,23.85,29.63,372,4.0,4650,Audiobook,HarperCollins
B709119,Number about phone.,Leah Higgins,Fantasy,1993-07-25,35.49,51.41,385,4.2,3499,Audiobook,Hachette
B136923,Protect network general force.,Charles Gordon,Fiction,2022-04-05,32.24,39.98,363,3.7,4589,Ebook,HarperCollins
B240589,For TV attention.,Richard Shields,Self-Help,2010-01-13,49.2,59.12,255,4.5,4886,Paperback,HarperCollins
B675659,Most finally focus student base.,Joyce Smith DVM,Self-Help,2018-12-04,40.38,56.37,48,3.6,957,Paperback,Simon & Schuster
B987678,Environment production lead allow.,Ricky Wade DVM,Biography,1990-03-22,44.46,56.72,464,4.8,4946,Ebook,Hachette
B834962,Score some.,Diana Waller,Mystery,2000-03-01,23.25,31.76,81,3.4,2577,Audiobook,HarperCollins
B198744,Baby clear article.,Donald Sherman,Biography,2000-05-18,6.18,8.52,308,4.3,2874,Hardcover,Simon & Schuster
B916655,Bill bar sister media air.,Amanda West,Biography,2019-03-05,33.77,37.17,87,3.7,4890,Audiobook,Hachette
B631988,Democratic until hour.,Taylor Baldwin,Fiction,2019-04-01,41.13,48.82,298,3.6,1168,Ebook,HarperCollins
B363270,Weight their ten tell discover.,Christopher Morales,Romance,1988-12-24,48.33,55.3,415,4.7,3349,Ebook,Simon & Schuster
